# Number of particles =            512
# Box side            =    8.445337536
# Time step           =      2.000E-03
#
#     Step          Epot          Temp          Ekin          Etot
#-----------------------------------------------------------------
        10 -1.259006E+03  4.048324E+00  3.109113E+03  1.850107E+03
        20 -1.282833E+03  4.079587E+00  3.133123E+03  1.850290E+03
        30 -1.312368E+03  4.117928E+00  3.162569E+03  1.850200E+03
        40 -1.268381E+03  4.060775E+00  3.118675E+03  1.850294E+03
        50 -1.252654E+03  4.040495E+00  3.103100E+03  1.850446E+03
        60 -1.338994E+03  4.152290E+00  3.188958E+03  1.849964E+03
        70 -1.211027E+03  3.986254E+00  3.061443E+03  1.850416E+03
        80 -1.251119E+03  4.038258E+00  3.101382E+03  1.850263E+03
        90 -1.277392E+03  4.072529E+00  3.127702E+03  1.850311E+03
       100 -1.255689E+03  4.044000E+00  3.105792E+03  1.850103E+03
       110 -1.251003E+03  4.038168E+00  3.101313E+03  1.850310E+03
       120 -1.393452E+03  4.223601E+00  3.243726E+03  1.850274E+03
       130 -1.434375E+03  4.276915E+00  3.284670E+03  1.850295E+03
       140 -1.359012E+03  4.178888E+00  3.209386E+03  1.850373E+03
       150 -1.280286E+03  4.076275E+00  3.130579E+03  1.850293E+03
       160 -1.206410E+03  3.980092E+00  3.056710E+03  1.850300E+03
       170 -1.220480E+03  3.998366E+00  3.070745E+03  1.850265E+03
       180 -1.367257E+03  4.189377E+00  3.217441E+03  1.850185E+03
       190 -1.371113E+03  4.194517E+00  3.221389E+03  1.850276E+03
       200 -1.267715E+03  4.059764E+00  3.117899E+03  1.850184E+03
       210 -1.182329E+03  3.948956E+00  3.032798E+03  1.850469E+03
       220 -1.281888E+03  4.077954E+00  3.131869E+03  1.849981E+03
       230 -1.205903E+03  3.979466E+00  3.056230E+03  1.850327E+03
       240 -1.249319E+03  4.035906E+00  3.099576E+03  1.850257E+03
       250 -1.304638E+03  4.107840E+00  3.154821E+03  1.850183E+03
       260 -1.369389E+03  4.192316E+00  3.219699E+03  1.850310E+03
       270 -1.437076E+03  4.280352E+00  3.287311E+03  1.850234E+03
       280 -1.381372E+03  4.207926E+00  3.231687E+03  1.850315E+03
       290 -1.325194E+03  4.135093E+00  3.175751E+03  1.850558E+03
       300 -1.409311E+03  4.244123E+00  3.259486E+03  1.850175E+03
       310 -1.408096E+03  4.242496E+00  3.258237E+03  1.850140E+03
       320 -1.371572E+03  4.195111E+00  3.221845E+03  1.850273E+03
       330 -1.412222E+03  4.247865E+00  3.262360E+03  1.850138E+03
       340 -1.329767E+03  4.140614E+00  3.179992E+03  1.850224E+03
       350 -1.228811E+03  4.009186E+00  3.079055E+03  1.850244E+03
       360 -1.144616E+03  3.899675E+00  2.994950E+03  1.850335E+03
       370 -1.270266E+03  4.062985E+00  3.120372E+03  1.850107E+03
       380 -1.329978E+03  4.140687E+00  3.180048E+03  1.850070E+03
       390 -1.288016E+03  4.086157E+00  3.138168E+03  1.850153E+03
       400 -1.326000E+03  4.135497E+00  3.176061E+03  1.850061E+03
       410 -1.255642E+03  4.044315E+00  3.106034E+03  1.850392E+03
       420 -1.283843E+03  4.080675E+00  3.133959E+03  1.850115E+03
       430 -1.291489E+03  4.090748E+00  3.141694E+03  1.850205E+03
       440 -1.272639E+03  4.066526E+00  3.123092E+03  1.850453E+03
       450 -1.397510E+03  4.228696E+00  3.247639E+03  1.850128E+03
       460 -1.379741E+03  4.205703E+00  3.229980E+03  1.850239E+03
       470 -1.268965E+03  4.061396E+00  3.119153E+03  1.850188E+03
       480 -1.193301E+03  3.962915E+00  3.043518E+03  1.850217E+03
       490 -1.253481E+03  4.041100E+00  3.103565E+03  1.850083E+03
       500 -1.263963E+03  4.054970E+00  3.114217E+03  1.850254E+03
       510 -1.261301E+03  4.051534E+00  3.111578E+03  1.850277E+03
       520 -1.220857E+03  3.998737E+00  3.071030E+03  1.850173E+03
       530 -1.157959E+03  3.917042E+00  3.008288E+03  1.850329E+03
       540 -1.221321E+03  3.999435E+00  3.071566E+03  1.850245E+03
       550 -1.249419E+03  4.036051E+00  3.099687E+03  1.850268E+03
       560 -1.294490E+03  4.094571E+00  3.144630E+03  1.850140E+03
       570 -1.217913E+03  3.995204E+00  3.068317E+03  1.850405E+03
       580 -1.357315E+03  4.176274E+00  3.207378E+03  1.850064E+03
       590 -1.436320E+03  4.279273E+00  3.286482E+03  1.850162E+03
       600 -1.334873E+03  4.147179E+00  3.185034E+03  1.850160E+03
       610 -1.296889E+03  4.097509E+00  3.146887E+03  1.849998E+03
       620 -1.252509E+03  4.040140E+00  3.102827E+03  1.850318E+03
       630 -1.299119E+03  4.100737E+00  3.149366E+03  1.850246E+03
       640 -1.286221E+03  4.084071E+00  3.136567E+03  1.850346E+03
       650 -1.282927E+03  4.079642E+00  3.133165E+03  1.850239E+03
       660 -1.241654E+03  4.025980E+00  3.091953E+03  1.850298E+03
       670 -1.291933E+03  4.091381E+00  3.142181E+03  1.850248E+03
       680 -1.337294E+03  4.150481E+00  3.187570E+03  1.850276E+03
       690 -1.265127E+03  4.056585E+00  3.115457E+03  1.850330E+03
       700 -1.238348E+03  4.021662E+00  3.088637E+03  1.850288E+03
       710 -1.261644E+03  4.051831E+00  3.111806E+03  1.850162E+03
       720 -1.210089E+03  3.984830E+00  3.060349E+03  1.850260E+03
       730 -1.207655E+03  3.981468E+00  3.057768E+03  1.850113E+03
       740 -1.205674E+03  3.978971E+00  3.055850E+03  1.850175E+03
       750 -1.266340E+03  4.057927E+00  3.116488E+03  1.850148E+03
