#distance	             h	             g
3.766750	     35.000000	      1.060816
3.779100	     44.000000	      1.324895
3.791450	     37.000000	      1.106870
3.803800	     39.000000	      1.159137
3.816150	     36.000000	      1.063058
3.828500	     36.000000	      1.056211
3.840850	     62.000000	      1.807351
3.853200	     52.000000	      1.506141
3.865550	     48.000000	      1.381415
3.877900	     57.000000	      1.629998
3.890250	     54.000000	      1.534420
3.902600	     47.000000	      1.327074
3.914950	     65.000000	      1.823755
3.927300	     53.000000	      1.477724
3.939650	     48.000000	      1.329938
3.952000	     65.000000	      1.789720
3.964350	     61.000000	      1.669135
3.976700	     57.000000	      1.550011
3.989050	     50.000000	      1.351253
4.001400	     45.000000	      1.208632
4.013750	     56.000000	      1.494834
4.026100	     56.000000	      1.485677
4.038450	     68.000000	      1.793019
4.050800	     50.000000	      1.310370
4.063150	     60.000000	      1.562899
4.075500	     60.000000	      1.553442
4.087850	     52.000000	      1.338194
4.100200	     58.000000	      1.483622
4.112550	     64.000000	      1.627283
4.124900	     69.000000	      1.743925
4.137250	     59.000000	      1.482293
4.149600	     73.000000	      1.823123
4.161950	     66.000000	      1.638535
4.174300	     48.000000	      1.184621
4.186650	     71.000000	      1.741929
4.199000	     61.000000	      1.487797
4.211350	     54.000000	      1.309352
4.223700	     53.000000	      1.277601
4.236050	     57.000000	      1.366024
4.248400	     71.000000	      1.691660
4.260750	     51.000000	      1.208102
4.273100	     63.000000	      1.483747
4.285450	     68.000000	      1.592288
4.297800	     49.000000	      1.140799
4.310150	     64.000000	      1.481497
4.322500	     58.000000	      1.334945
4.334850	     59.000000	      1.350235
4.347200	     58.000000	      1.319819
4.359550	     60.000000	      1.357605
4.371900	     52.000000	      1.169953
4.384250	     61.000000	      1.364724
4.396600	     55.000000	      1.223585
4.408950	     47.000000	      1.039760
4.421300	     41.000000	      0.901964
4.433650	     57.000000	      1.246974
4.446000	     53.000000	      1.153035
4.458350	     52.000000	      1.125021
4.470700	     57.000000	      1.226392
4.483050	     49.000000	      1.048466
4.495400	     45.000000	      0.957594
4.507750	     41.000000	      0.867700
4.520100	     47.000000	      0.989253
4.532450	     54.000000	      1.130403
4.544800	     56.000000	      1.165907
4.557150	     57.000000	      1.180304
4.569500	     53.000000	      1.091551
4.581850	     40.000000	      0.819377
4.594200	     42.000000	      0.855727
4.606550	     46.000000	      0.932206
4.618900	     38.000000	      0.765970
4.631250	     53.000000	      1.062637
4.643600	     41.000000	      0.817673
4.655950	     47.000000	      0.932367
4.668300	     50.000000	      0.986638
4.680650	     42.000000	      0.824408
4.693000	     44.000000	      0.859126
4.705350	     33.000000	      0.640967
4.717700	     50.000000	      0.966084
4.730050	     40.000000	      0.768837
4.742400	     55.000000	      1.051651
4.754750	     42.000000	      0.798913
4.767100	     46.000000	      0.870472
4.779450	     48.000000	      0.903630
4.791800	     32.000000	      0.599319
4.804150	     44.000000	      0.819832
4.816500	     44.000000	      0.815633
4.828850	     47.000000	      0.866794
4.841200	     42.000000	      0.770635
4.853550	     47.000000	      0.857994
4.865900	     44.000000	      0.799156
4.878250	     42.000000	      0.758974
4.890600	     27.000000	      0.485451
4.902950	     39.000000	      0.697678
4.915300	     46.000000	      0.818773
4.927650	     39.000000	      0.690701
4.940000	     33.000000	      0.581521
4.952350	     36.000000	      0.631227
4.964700	     33.000000	      0.575749
4.977050	     40.000000	      0.694419
4.989400	     26.000000	      0.449140
5.001750	     63.000000	      1.082934
5.014100	     32.000000	      0.547355
5.026450	     34.000000	      0.578711
5.038800	     33.000000	      0.558940
5.051150	     57.000000	      0.960727
5.063500	     53.000000	      0.888955
5.075850	     38.000000	      0.634266
5.088200	     45.000000	      0.747463
5.100550	     50.000000	      0.826497
5.112900	     59.000000	      0.970561
5.125250	     54.000000	      0.884034
5.137600	     50.000000	      0.814620
5.149950	     53.000000	      0.859360
5.162300	     55.000000	      0.887527
5.174650	     57.000000	      0.915416
5.187000	     54.000000	      0.863111
5.199350	     51.000000	      0.811293
5.211700	     49.000000	      0.775787
5.224050	     54.000000	      0.850912
5.236400	     53.000000	      0.831220
5.248750	     54.000000	      0.842922
5.261100	     51.000000	      0.792360
5.273450	     56.000000	      0.865972
5.285800	     53.000000	      0.815755
5.298150	     66.000000	      1.011116
5.310500	     55.000000	      0.838682
5.322850	     52.000000	      0.789261
5.335200	     55.000000	      0.830934
5.347550	     48.000000	      0.721833
5.359900	     53.000000	      0.793356
5.372250	     62.000000	      0.923814
5.384600	     61.000000	      0.904750
5.396950	     40.000000	      0.590566
5.409300	     77.000000	      1.131655
5.421650	     62.000000	      0.907056
5.434000	     54.000000	      0.786430
5.446350	     62.000000	      0.898848
5.458700	     68.000000	      0.981377
5.471050	     59.000000	      0.847649
5.483400	     80.000000	      1.144183
5.495750	     61.000000	      0.868523
5.508100	     66.000000	      0.935504
5.520450	     61.000000	      0.860768
5.532800	     74.000000	      1.039555
5.545150	     68.000000	      0.951016
5.557500	     69.000000	      0.960717
5.569850	     68.000000	      0.942600
5.582200	     64.000000	      0.883232
5.594550	     57.000000	      0.783159
5.606900	     72.000000	      0.984901
5.619250	     76.000000	      1.035052
5.631600	     64.000000	      0.867804
5.643950	     83.000000	      1.120514
5.656300	     77.000000	      1.034979
5.668650	     71.000000	      0.950177
5.681000	     77.000000	      1.025998
5.693350	     75.000000	      0.995018
5.705700	     94.000000	      1.241697
5.718050	     66.000000	      0.868068
5.730400	     74.000000	      0.969097
5.742750	     73.000000	      0.951894
5.755100	     78.000000	      1.012732
5.767450	     89.000000	      1.150609
5.779800	     72.000000	      0.926856
5.792150	     68.000000	      0.871635
5.804500	     78.000000	      0.995567
5.816850	     73.000000	      0.927796
5.829200	     82.000000	      1.037771
5.841550	     90.000000	      1.134206
5.853900	     90.000000	      1.129425
5.866250	     91.000000	      1.137171
5.878600	     81.000000	      1.007959
5.890950	    108.000000	      1.338316
5.903300	     80.000000	      0.987201
5.915650	     96.000000	      1.179701
5.928000	     96.000000	      1.174790
5.940350	     81.000000	      0.987112
5.952700	     82.000000	      0.995156
5.965050	    105.000000	      1.269015
5.977400	    101.000000	      1.215632
5.989750	     90.000000	      1.078774
6.002100	     87.000000	      1.038528
6.014450	    106.000000	      1.260142
6.026800	     96.000000	      1.136588
6.039150	    106.000000	      1.249855
6.051500	     86.000000	      1.009899
6.063850	     91.000000	      1.064265
6.076200	    106.000000	      1.234660
6.088550	     98.000000	      1.136852
6.100900	     90.000000	      1.039825
6.113250	     87.000000	      1.001107
