#  Steps             Rx             Rg           Epot           Temp           Ekin           Etot
     870      -0.000000       4.698553   -6367.347086       0.002411       3.616633   -6363.730453
     880      -0.000000       4.700160   -6367.342639       0.002408       3.612190   -6363.730449
     890      -0.000000       4.701756   -6367.285914       0.002370       3.555466   -6363.730448
     900      -0.000000       4.703328   -6367.179151       0.002299       3.448705   -6363.730445
     910      -0.000000       4.704864   -6367.025604       0.002197       3.295170   -6363.730434
     920      -0.000000       4.706352   -6366.830270       0.002067       3.099851   -6363.730419
     930      -0.000000       4.707781   -6366.599992       0.001913       2.869581   -6363.730411
     940      -0.000000       4.709139   -6366.342605       0.001741       2.612207   -6363.730398
     950      -0.000000       4.710416   -6366.066172       0.001557       2.335764   -6363.730408
     960      -0.000000       4.711603   -6365.778389       0.001365       2.047983   -6363.730406
     970      -0.000000       4.712691   -6365.487886       0.001172       1.757483   -6363.730402
     980      -0.000000       4.713673   -6365.204007       0.000982       1.473612   -6363.730395
     990      -0.000000       4.714540   -6364.935792       0.000804       1.205404   -6363.730389
