#Cycle	Epot	P

 200	-273.984801	0.000000
 201	-274.224874	0.000000
 202	-274.362172	0.000000
 203	-273.948818	0.000000
 204	-274.048893	0.000000
 205	-273.888881	0.000000
 206	-273.988472	0.000000
 207	-273.499308	0.000000
 208	-273.681571	0.000000
 209	-274.156198	0.000000
 210	-274.564586	0.000000
 211	-275.080069	0.000000
 212	-275.042291	0.000000
 213	-275.139835	0.000000
 214	-275.005152	0.000000
 215	-275.149285	0.000000
 216	-275.370976	0.000000
 217	-275.244911	0.000000
 218	-275.008791	0.000000
 219	-274.865791	0.000000
 220	-275.414072	0.000000
 221	-275.768789	0.000000
 222	-275.635115	0.000000
 223	-275.533940	0.000000
 224	-275.750162	0.000000
 225	-275.777709	0.000000
 226	-275.705680	0.000000
 227	-275.458881	0.000000
 228	-275.366209	0.000000
 229	-275.698939	0.000000
 230	-275.843918	0.000000
 231	-275.621685	0.000000
 232	-275.748284	0.000000
 233	-275.609255	0.000000
 234	-275.543914	0.000000
 235	-276.043947	0.000000
 236	-275.668946	0.000000
 237	-275.548514	0.000000
 238	-275.404060	0.000000
 239	-275.087940	0.000000
 240	-275.332821	0.000000
 241	-275.090201	0.000000
 242	-275.126225	0.000000
 243	-275.525474	0.000000
 244	-275.373880	0.000000
 245	-274.931069	0.000000
 246	-274.987087	0.000000
 247	-275.446714	0.000000
 248	-275.685417	0.000000
 249	-275.912662	0.000000
 250	-275.813869	0.000000
 251	-275.675483	0.000000
 252	-275.734011	0.000000
 253	-275.427326	0.000000
 254	-275.182587	0.000000
 255	-275.261781	0.000000
 256	-275.150218	0.000000
 257	-275.128098	0.000000
 258	-275.483599	0.000000
 259	-275.771329	0.000000
 260	-275.994711	0.000000
 261	-276.282432	0.000000
 262	-276.259515	0.000000
 263	-276.127635	0.000000
 264	-276.124260	0.000000
 265	-276.030960	0.000000
 266	-276.285495	0.000000
 267	-276.329912	0.000000
 268	-276.321011	0.000000
 269	-276.250983	0.000000
 270	-276.120311	0.000000
 271	-275.867845	0.000000
 272	-275.930069	0.000000
 273	-275.959336	0.000000
 274	-275.750656	0.000000
 275	-275.613309	0.000000
 276	-275.994396	0.000000
 277	-276.463511	0.000000
 278	-276.757924	0.000000
 279	-276.763209	0.000000
 280	-276.842544	0.000000
 281	-276.850006	0.000000
 282	-276.945416	0.000000
 283	-276.900422	0.000000
 284	-276.623995	0.000000
 285	-276.661198	0.000000
 286	-276.930817	0.000000
 287	-276.684098	0.000000
 288	-276.712694	0.000000
 289	-276.461242	0.000000
 290	-276.476262	0.000000
 291	-276.459397	0.000000
 292	-276.056825	0.000000
 293	-276.220244	0.000000
 294	-276.553407	0.000000
 295	-276.448275	0.000000
 296	-276.306864	0.000000
 297	-275.739223	0.000000
 298	-275.817755	0.000000
 299	-275.947917	0.000000
 300	-275.825047	0.000000
 301	-275.741272	0.000000
 302	-275.801062	0.000000
 303	-276.132222	0.000000
 304	-276.394546	0.000000
 305	-276.390301	0.000000
 306	-276.264602	0.000000
 307	-275.993875	0.000000
 308	-275.606281	0.000000
 309	-275.504126	0.000000
 310	-275.142062	0.000000
 311	-274.946434	0.000000
 312	-274.843532	0.000000
 313	-275.071205	0.000000
 314	-274.985593	0.000000
 315	-275.225837	0.000000
 316	-275.151245	0.000000
 317	-275.242872	0.000000
 318	-275.414160	0.000000
 319	-275.269669	0.000000
 320	-275.109004	0.000000
 321	-275.327022	0.000000
 322	-275.766066	0.000000
 323	-275.688535	0.000000
 324	-276.014214	0.000000
 325	-275.899372	0.000000
 326	-276.381942	0.000000
 327	-276.682942	0.000000
 328	-276.564786	0.000000
 329	-276.689634	0.000000
 330	-276.636867	0.000000
 331	-276.936089	0.000000
 332	-276.863999	0.000000
 333	-276.810685	0.000000
 334	-276.785932	0.000000
 335	-276.669539	0.000000
 336	-277.021179	0.000000
 337	-277.062805	0.000000
 338	-276.810363	0.000000
 339	-276.451026	0.000000
 340	-276.638537	0.000000
 341	-276.658644	0.000000
 342	-276.791278	0.000000
 343	-277.053836	0.000000
 344	-276.832369	0.000000
 345	-276.992632	0.000000
 346	-276.711053	0.000000
 347	-276.621600	0.000000
 348	-276.593747	0.000000
 349	-276.833557	0.000000
 350	-277.001755	0.000000
 351	-276.844649	0.000000
 352	-276.574985	0.000000
 353	-276.781498	0.000000
 354	-276.866638	0.000000
 355	-276.741054	0.000000
 356	-276.709883	0.000000
 357	-276.580091	0.000000
 358	-276.633542	0.000000
 359	-276.236222	0.000000
 360	-275.876711	0.000000
 361	-276.227118	0.000000
 362	-276.559295	0.000000
 363	-276.698985	0.000000
 364	-276.957926	0.000000
 365	-277.163566	0.000000
 366	-277.404464	0.000000
 367	-277.581040	0.000000
 368	-277.614181	0.000000
 369	-277.253339	0.000000
 370	-277.030653	0.000000
 371	-277.418668	0.000000
 372	-277.482551	0.000000
 373	-277.084619	0.000000
 374	-277.059712	0.000000
 375	-276.622773	0.000000
 376	-276.532021	0.000000
 377	-276.734728	0.000000
 378	-276.791045	0.000000
 379	-276.515243	0.000000
 380	-276.788482	0.000000
 381	-276.677241	0.000000
 382	-276.867014	0.000000
 383	-276.712936	0.000000
 384	-276.269519	0.000000
 385	-276.197735	0.000000
 386	-276.505609	0.000000
 387	-276.249706	0.000000
 388	-276.021325	0.000000
 389	-275.645248	0.000000
 390	-275.770478	0.000000
 391	-276.177492	0.000000
 392	-276.246001	0.000000
 393	-276.463259	0.000000
 394	-276.521325	0.000000
 395	-276.995947	0.000000
 396	-277.037384	0.000000
 397	-276.733941	0.000000
 398	-276.571835	0.000000
 399	-276.295636	0.000000
 400	-276.154271	0.000000
 401	-276.012135	0.000000
 402	-276.344184	0.000000
 403	-276.330701	0.000000
 404	-276.314080	0.000000
 405	-275.948026	0.000000
 406	-276.160831	0.000000
 407	-276.316876	0.000000
 408	-276.549334	0.000000
 409	-276.792934	0.000000
 410	-276.805606	0.000000
 411	-276.822372	0.000000
 412	-276.553318	0.000000
 413	-276.120374	0.000000
 414	-276.372662	0.000000
 415	-276.397546	0.000000
 416	-276.276659	0.000000
 417	-276.320787	0.000000
 418	-276.261087	0.000000
 419	-276.316928	0.000000
 420	-276.758238	0.000000
 421	-276.843435	0.000000
 422	-276.709740	0.000000
 423	-276.735710	0.000000
 424	-276.567365	0.000000
 425	-276.541985	0.000000
 426	-276.725843	0.000000
 427	-276.895977	0.000000
 428	-276.998600	0.000000
 429	-276.923687	0.000000
 430	-277.195805	0.000000
 431	-277.090242	0.000000
 432	-276.665453	0.000000
 433	-276.549231	0.000000
 434	-276.147667	0.000000
 435	-276.106202	0.000000
 436	-276.409737	0.000000
 437	-276.607421	0.000000
 438	-276.326928	0.000000
 439	-275.974886	0.000000
 440	-275.890939	0.000000
 441	-276.019192	0.000000
 442	-276.126387	0.000000
 443	-276.274844	0.000000
 444	-276.170734	0.000000
 445	-276.449792	0.000000
 446	-276.765176	0.000000
 447	-276.853600	0.000000
 448	-276.822017	0.000000
 449	-276.766505	0.000000
 450	-276.742705	0.000000
 451	-276.376095	0.000000
 452	-276.544934	0.000000
 453	-277.022617	0.000000
 454	-277.034687	0.000000
 455	-276.935925	0.000000
 456	-276.731895	0.000000
 457	-276.560442	0.000000
 458	-276.586499	0.000000
 459	-276.274518	0.000000
 460	-276.091073	0.000000
 461	-276.249508	0.000000
 462	-276.800260	0.000000
 463	-276.971300	0.000000
 464	-276.663816	0.000000
 465	-276.968394	0.000000
 466	-277.390564	0.000000
 467	-277.486739	0.000000
 468	-277.462586	0.000000
 469	-277.338581	0.000000
 470	-277.432075	0.000000
 471	-277.186955	0.000000
 472	-277.025675	0.000000
 473	-276.739526	0.000000
 474	-276.960613	0.000000
 475	-277.121749	0.000000
 476	-277.038619	0.000000
 477	-276.771912	0.000000
 478	-276.820432	0.000000
 479	-276.554691	0.000000
 480	-276.954571	0.000000
 481	-277.226739	0.000000
 482	-277.260203	0.000000
 483	-277.168921	0.000000
 484	-277.323495	0.000000
 485	-277.650788	0.000000
 486	-277.812996	0.000000
 487	-277.559943	0.000000
 488	-277.576453	0.000000
 489	-277.512990	0.000000
 490	-277.327254	0.000000
 491	-277.309175	0.000000
 492	-277.214964	0.000000
 493	-277.366406	0.000000
 494	-277.466943	0.000000
 495	-277.324955	0.000000
 496	-277.074130	0.000000
 497	-277.378015	0.000000
 498	-277.316397	0.000000
 499	-277.530131	0.000000
 500	-277.469055	0.000000
 501	-277.382259	0.000000
 502	-277.602597	0.000000
 503	-277.939791	0.000000
 504	-277.669032	0.000000
 505	-277.408930	0.000000
 506	-277.214305	0.000000
 507	-277.348469	0.000000
 508	-277.598212	0.000000
 509	-277.500740	0.000000
 510	-277.474468	0.000000
 511	-277.406888	0.000000
 512	-277.369605	0.000000
 513	-277.881140	0.000000
 514	-277.536163	0.000000
 515	-277.312477	0.000000
 516	-277.545059	0.000000
 517	-277.517922	0.000000
 518	-277.452434	0.000000
 519	-277.388087	0.000000
 520	-277.316786	0.000000
 521	-277.478615	0.000000
 522	-277.521898	0.000000
 523	-277.415307	0.000000
 524	-277.118365	0.000000
 525	-277.258422	0.000000
 526	-277.332013	0.000000
 527	-277.259412	0.000000
 528	-277.188739	0.000000
 529	-276.859457	0.000000
 530	-276.428776	0.000000
 531	-276.387681	0.000000
 532	-276.516597	0.000000
 533	-276.981604	0.000000
 534	-277.327365	0.000000
 535	-277.373842	0.000000
 536	-277.351686	0.000000
 537	-277.227653	0.000000
 538	-277.338523	0.000000
 539	-277.317795	0.000000
 540	-277.582109	0.000000
 541	-277.761928	0.000000
 542	-277.658840	0.000000
 543	-277.709060	0.000000
 544	-278.061841	0.000000
 545	-277.863993	0.000000
 546	-277.918089	0.000000
 547	-277.885657	0.000000
 548	-277.819259	0.000000
 549	-277.884708	0.000000
 550	-277.872695	0.000000
 551	-277.878087	0.000000
 552	-278.272546	0.000000
 553	-278.248825	0.000000
 554	-278.381192	0.000000
 555	-278.462903	0.000000
